user_id,user_name,age,gender,city,state,preferred_language,signup_date,subscription_type,subscription_start_date,subscription_end_date,source,user_total_transactions,user_unique_books,user_active_days,user_activity_score,membership_days
U0021,Praveen Ramaswamy,33.0,Female,Kollam,Kerala,English,2019-03-02,Audiobook Subscription,2019-04-01,2020-03-31,dataset_1,9.0,9.0,1414.0,9.0,2657.0
U0022,Revathi Joshi,31.0,Female,Delhi,Delhi,Hindi,2023-05-19,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1118.0
U0023,Vignesh Raghunathan,64.0,Other,Thiruvananthapuram,Kerala,English,2022-04-30,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1502.0
U0024,kavitha varma,41.0,Female,Visakhapatnam,Andhra Pradesh,Telugu,2024-12-15,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,542.0
U0025,SUMATHI Rao,22.0,Female,Erode,Tamil Nadu,English,2021-10-05,Annual Ebook,2021-10-10,2022-10-10,dataset_1,1.0,1.0,0.0,1.0,1709.0
U0026,Kalai Rao,55.0,Female,Thanjavur,Tamil Nadu,Tamil,2022-07-10,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1431.0
U0027,Ashwin Krishnan,37.0,Male,Pune,Maharashtra,Hindi,2020-02-14,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,2308.0
U0028,Sowmya Mishra,40.0,Female,Kolkata,West Bengal,Hindi,2023-11-30,Audiobook Subscription,2024-02-28,2025-02-27,dataset_1,1.0,1.0,0.0,1.0,923.0
U0029, Sunil Rajput ,69.0,Female,Kannur,Kerala,Malayalam,2020-02-29,Audiobook Subscription,2020-03-17,0,dataset_1,9.0,9.0,1527.0,9.0,2293.0
U0030,GEETHA Menon,65.0,Female,Vijayawada,Andhra Pradesh,Telugu,2021-04-13,Annual Ebook,2021-05-16,2022-05-16,dataset_1,1.0,1.0,0.0,1.0,1884.0
U0031,Rohan Agarwal,21.0,Male,Kolkata,Tamil Nadu,English,2020-06-19,Annual Ebook,2020-07-22,2021-07-22,dataset_1,1.0,1.0,0.0,1.0,2182.0
U0032,Ganesh Kulkarni,45.0,Female,Thiruvananthapuram,Kerala,Malayalam,2023-02-21,Annual Ebook,2023-03-11,2024-03-10,dataset_1,3.0,3.0,1476.0,2.9999999999999996,1205.0
U0033,Kamala Krishnan,41.0,Female,Coimbatore,Tamil Nadu,English,2021-10-19,Annual Ebook,2021-12-03,2022-12-03,dataset_1,2.0,2.0,64.0,2.0,1695.0
U0034,PREMA Chaudhari,44.0,Other,Erode,Tamil Nadu,Tamil,2020-12-26,Audiobook Subscription,2020-12-29,0,dataset_1,7.0,7.0,907.0,7.0,1992.0
U0035,harish patel,44.0,Female,Ahmedabad,Gujarat,Hindi,2020-03-18,Quarterly Ebook,2020-03-22,2020-06-20,dataset_1,2.0,2.0,248.0,2.0,2275.0
U0036,Akash Sundaram,47.0,Male,Ahmedabad,Gujarat,Hindi,2021-03-02,Quarterly Ebook,2021-04-06,2021-07-05,dataset_1,1.0,1.0,0.0,1.0,1926.0
U0037,Rajesh Srinivasan,50.0,Male,Kolkata,West Bengal,Telugu,2020-04-17,Audiobook Subscription,2020-05-20,2021-05-20,dataset_1,1.0,1.0,0.0,1.0,2245.0
U0038, Harish Varma ,34.0,Male,Hubballi,Karnataka,Kannada,2023-11-23,Annual Ebook,2024-01-27,2025-01-26,dataset_1,10.0,9.0,1471.0,9.7,930.0
U0039,MURUGAN Verma,30.0,Male,Chennai,Tamil Nadu,Tamil,2021-03-18,Quarterly Ebook,2021-03-26,2021-06-24,dataset_1,1.0,1.0,0.0,1.0,1910.0
U0040,Parvathi Patel,60.0,Female,Bengaluru,Karnataka,Kannada,2023-07-31,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1045.0
U0041,Kala Raghunathan,30.0,Male,Delhi,Delhi,English,2022-05-17,Quarterly Ebook,2022-05-17,2022-08-15,dataset_1,1.0,1.0,0.0,1.0,1485.0
U0042,Sunil Raghunathan,68.0,Female,Davangere,Karnataka,Kannada,2021-05-25,Quarterly Ebook,2021-06-15,2021-09-13,dataset_1,1.0,1.0,0.0,1.0,1842.0
U0043,Surya Rao,41.0,Female,Kannur,Kerala,Malayalam,2021-07-09,Audiobook Subscription,2021-07-27,2022-07-27,dataset_1,1.0,1.0,0.0,1.0,1797.0
U0044,Ananya Reddy,48.0,Female,Davangere,Karnataka,Kannada,2021-03-07,Annual Ebook,2021-04-25,2022-04-25,dataset_1,1.0,1.0,0.0,1.0,1921.0
U0045,Anitha Mehta,59.0,Female,Pune,Maharashtra,Tamil,2021-06-15,Annual Ebook,0,0,dataset_1,0.0,0.0,0.0,0.0,1821.0
U0046,Kala Tiwari,53.0,Male,Lucknow,Uttar Pradesh,Hindi,2024-03-18,Annual Ebook,2024-05-28,2025-05-28,dataset_1,11.0,9.0,1215.0,10.399999999999999,814.0
U0047, Gopal Rajan ,46.0,Female,Warangal,Telangana,Telugu,,Audiobook Subscription,2024-03-01,2025-03-01,dataset_1,1.0,1.0,0.0,1.0,0.0
U0048,radha chandrasekaran,58.0,Male,Kolkata,Telangana,English,2023-12-07,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,916.0
U0049,Vijay Balasubramanian,38.0,Female,Tiruchirappalli,Tamil Nadu,Tamil,2020-09-17,Annual Ebook,2020-09-25,2021-09-25,dataset_1,2.0,2.0,1102.0,2.0,2092.0
U0050,Nirmala Joshi,47.0,Male,Kolkata,Karnataka,Kannada,2019-03-22,Audiobook Subscription,2019-06-03,2020-06-02,dataset_1,3.0,2.0,286.0,2.6999999999999997,2637.0
U0051,Kumar Kaur,40.0,Male,Kannur,Kerala,Malayalam,2021-06-22,Quarterly Ebook,2021-07-26,2021-10-24,dataset_1,1.0,1.0,0.0,1.0,1814.0
U0052,Kamala Agarwal,39.0,Female,Kozhikode,Kerala,Malayalam,2020-06-06,Audiobook Subscription,2020-08-13,2021-08-13,dataset_1,7.0,6.0,1492.0,6.699999999999999,2195.0
U0053,Ananya Mehta,60.0,Male,Tiruchirappalli,Tamil Nadu,English,2021-12-01,Quarterly Ebook,2021-12-28,2022-03-28,dataset_1,4.0,4.0,787.0,4.0,1652.0
U0054,Vignesh Rajan,42.0,Male,Bhopal,Madhya Pradesh,Hindi,2019-12-02,Quarterly Ebook,2020-02-09,2020-05-09,dataset_1,1.0,1.0,0.0,1.0,2382.0
U0055,Suresh Gupta,22.0,Female,Thrissur,Kerala,Malayalam,2021-03-27,Audiobook Subscription,2021-06-14,2022-06-14,dataset_1,1.0,1.0,0.0,1.0,1901.0
U0056,Bhavana Balasubramanian,60.0,Male,Lucknow,Uttar Pradesh,English,2023-02-19,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1207.0
U0057,Amudha Chakraborty,70.0,Male,Visakhapatnam,Andhra Pradesh,Telugu,2023-03-18,Quarterly Ebook,2023-04-12,2023-07-11,dataset_1,1.0,1.0,0.0,1.0,1180.0
U0058,Meena Varma,58.0,Male,Bengaluru,Karnataka,Kannada,2020-05-10,Annual Ebook,2020-07-21,2021-07-21,dataset_1,2.0,2.0,81.0,2.0,2222.0
U0059,Deepa Gupta,60.0,Male,Mysuru,Karnataka,Kannada,2024-06-30,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,710.0
U0060,BALU Das,47.0,Female,Kozhikode,Kerala,Malayalam,2022-01-11,Annual Ebook,2022-03-20,2023-03-20,dataset_1,9.0,5.0,1525.0,7.8,1611.0
U0061,Prema Kaur,70.0,Female,Erode,Tamil Nadu,Tamil,2024-01-21,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,871.0
U0062,Saroja Naidu,42.0,Male,Mysuru,Karnataka,Kannada,2022-12-24,Annual Ebook,2023-02-05,2024-02-05,dataset_1,1.0,1.0,0.0,1.0,1264.0
U0063,hema prasad,35.0,Female,Vellore,Tamil Nadu,English,2023-07-23,Quarterly Ebook,2023-08-22,2023-11-20,dataset_1,1.0,1.0,0.0,1.0,1053.0
U0064,Karthi Kaur,49.0,Male,Bengaluru,Karnataka,Kannada,2021-09-23,Annual Ebook,0,0,dataset_1,8.0,8.0,1408.0,8.0,1721.0
U0065,Deepak Singh,51.0,Male,Kolkata,West Bengal,Hindi,2024-02-02,Annual Ebook,0,0,dataset_1,5.0,5.0,1741.0,5.0,859.0
U0066,Babu Sundaram,30.0,Male,Thrissur,Kerala,English,2021-06-05,Annual Ebook,2021-07-10,2022-07-10,dataset_1,11.0,11.0,1247.0,11.0,1831.0
U0067, Sathish Varma ,51.0,Female,Ahmedabad,Gujarat,Hindi,2023-01-18,Annual Ebook,0,0,dataset_1,11.0,10.0,1786.0,10.7,1239.0
U0068,Priya Chakraborty,35.0,Male,Bengaluru,Karnataka,Kannada,2024-07-03,Annual Ebook,0,0,dataset_1,2.0,2.0,596.0,2.0,707.0
U0069,Priya Naidu,48.0,Male,Coimbatore,Tamil Nadu,Tamil,2024-05-10,Annual Ebook,0,0,dataset_1,9.0,8.0,1662.0,8.7,761.0
U0070,Rajesh Mehta,54.0,Female,Tiruchirappalli,Tamil Nadu,Tamil,2019-12-15,Audiobook Subscription,2019-12-30,2020-12-29,dataset_1,3.0,3.0,642.0,2.9999999999999996,2369.0
U0071,Vasantha Joshi,68.0,Female,Mangaluru,Karnataka,Kannada,2022-05-02,Audiobook Subscription,2022-06-25,2023-06-25,dataset_1,2.0,2.0,248.0,2.0,1500.0
U0072,Rekha Naidu,57.0,Female,Thrissur,Kerala,Malayalam,2021-12-19,Annual Ebook,2022-01-08,2023-01-08,dataset_1,10.0,9.0,1167.0,9.7,1634.0
U0073,Senthil Ramaswamy,41.0,Male,Vijayawada,Andhra Pradesh,Telugu,2021-08-06,Annual Ebook,0,0,dataset_1,2.0,2.0,388.0,2.0,1769.0
U0074,VIJAY Bose,22.0,Female,Kolkata,Gujarat,English,2021-07-09,Annual Ebook,2021-08-12,2022-08-12,dataset_1,1.0,1.0,0.0,1.0,1797.0
U0075,Arun Pillai,68.0,Male,Visakhapatnam,Andhra Pradesh,Telugu,2024-04-03,Annual Ebook,2024-07-01,2025-07-01,dataset_1,3.0,3.0,480.0,2.9999999999999996,798.0
U0076,Asha Srinivasan,49.0,Male,Belagavi,Karnataka,Kannada,2021-10-22,Annual Ebook,0,0,dataset_1,2.0,2.0,1508.0,2.0,1692.0
U0077,UMA Ghosh,54.0,Female,Thrissur,Kerala,Telugu,2019-06-14,Annual Ebook,2019-07-06,2020-07-05,dataset_1,1.0,1.0,0.0,1.0,2553.0
U0078,Akash Tiwari,35.0,Male,Guntur,Andhra Pradesh,Telugu,2024-04-09,Annual Ebook,0,0,dataset_1,8.0,6.0,1199.0,7.3999999999999995,792.0
U0079,Mani Rajan,28.0,Male,Bengaluru,Karnataka,Kannada,2019-05-31,Quarterly Ebook,2019-07-10,2019-10-08,dataset_1,3.0,3.0,1213.0,2.9999999999999996,2567.0
U0080,Babu Rajan,67.0,Male,Chennai,Tamil Nadu,Tamil,2024-03-07,Quarterly Ebook,2024-03-31,2024-06-29,dataset_1,8.0,7.0,1712.0,7.699999999999999,825.0
U0081,Dev Singh,41.0,Female,Vellore,Tamil Nadu,Tamil,2022-03-25,Quarterly Ebook,0,2022-09-20,dataset_1,1.0,1.0,0.0,1.0,1538.0
U0082,Nithin Menon,58.0,Female,Tirunelveli,Tamil Nadu,Tamil,2023-07-30,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1046.0
U0083, Murugan Patil ,59.0,Female,Thiruvananthapuram,Kerala,Malayalam,2022-01-24,Quarterly Ebook,2022-03-26,2022-06-24,dataset_1,5.0,5.0,883.0,5.0,1598.0
U0084,Akash Balasubramanian,27.0,Male,Delhi,Delhi,Tamil,2022-02-05,Annual Ebook,2022-03-30,2023-03-30,dataset_1,2.0,2.0,664.0,2.0,1586.0
U0085,Thenmozhi Mishra,18.0,Male,Visakhapatnam,Andhra Pradesh,Telugu,2024-06-28,Audiobook Subscription,2024-08-24,2025-08-24,dataset_1,9.0,8.0,1725.0,8.7,712.0
U0086,Aditya Kaur,53.0,Female,Mysuru,Karnataka,Kannada,2021-09-05,Annual Ebook,2021-10-04,2022-10-04,dataset_1,1.0,1.0,0.0,1.0,1739.0
U0087,Prema Joshi,65.0,Male,Bhopal,Madhya Pradesh,Hindi,2020-09-15,Quarterly Ebook,2020-09-19,2020-12-18,dataset_1,1.0,1.0,0.0,1.0,2094.0
U0088, Venkat Mishra ,39.0,Female,Lucknow,Uttar Pradesh,Hindi,2024-02-15,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,846.0
U0089,ARUN Joshi,27.0,Male,Thanjavur,Tamil Nadu,Tamil,2023-06-17,Annual Ebook,2023-07-29,2024-07-28,dataset_1,3.0,3.0,941.0,2.9999999999999996,1089.0
U0090,Balaji Pandey,38.0,Female,Lucknow,Uttar Pradesh,Tamil,2019-05-28,Annual Ebook,2019-06-27,2020-06-26,dataset_1,1.0,1.0,0.0,1.0,2570.0
U0091, Ajith Ghosh ,32.0,Female,Salem,Tamil Nadu,Tamil,2020-02-16,Quarterly Ebook,2020-05-14,2020-08-12,dataset_1,9.0,9.0,1311.0,9.0,2306.0
U0092,Sunil Sharma,68.0,Male,Belagavi,Karnataka,English,2023-08-15,Annual Ebook,2023-09-07,2024-09-06,dataset_1,8.0,8.0,1188.0,8.0,1030.0
U0093,Revathi Ramaswamy,42.0,Female,Visakhapatnam,Andhra Pradesh,English,2021-11-06,Quarterly Ebook,2022-01-30,2022-04-30,dataset_1,7.0,4.0,1006.0,6.1,1677.0
U0094, Priya Patil ,61.0,Female,Hubballi,Karnataka,Kannada,2023-10-04,Annual Ebook,2023-12-01,2024-11-30,dataset_1,1.0,1.0,0.0,1.0,980.0
U0095, Sunil Venkatesh ,48.0,Male,Hubballi,Karnataka,Kannada,2022-04-24,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1508.0
U0096,Surya Mehta,54.0,Female,Coimbatore,Tamil Nadu,Tamil,2022-03-18,Annual Ebook,2022-04-16,2023-04-16,dataset_1,2.0,2.0,243.0,2.0,1545.0
U0097,Amudha Gupta,30.0,Female,Kozhikode,Kerala,Malayalam,2020-07-14,Annual Ebook,2020-10-02,2021-10-02,dataset_1,2.0,1.0,74.0,1.7,2157.0
U0098,Yuvan Reddy,46.0,Male,Tiruchirappalli,Tamil Nadu,Tamil,2022-08-31,Annual Ebook,2022-09-22,2023-09-22,dataset_1,6.0,5.0,2024.0,5.699999999999999,1379.0
U0099,nithya krishnan,41.0,Female,Delhi,Delhi,Hindi,2024-05-27,Audiobook Subscription,2024-07-03,2025-07-03,dataset_1,7.0,4.0,1215.0,6.1,744.0
U0100,TAMILARASI Patel,47.0,Female,Erode,Tamil Nadu,Tamil,2023-06-16,Audiobook Subscription,2023-08-26,2024-08-25,dataset_1,1.0,1.0,0.0,1.0,1090.0
U0101,balu rao,41.0,Male,Hubballi,Karnataka,Kannada,2021-12-09,Annual Ebook,2022-02-28,2023-02-28,dataset_1,3.0,3.0,656.0,2.9999999999999996,1644.0
U0102,Shanthi Iyer,48.0,Male,Kolkata,West Bengal,Telugu,2021-06-25,Annual Ebook,2021-09-14,2022-09-14,dataset_1,11.0,11.0,1583.0,11.0,1811.0
U0103,Saroja Bose,44.0,Male,Coimbatore,Tamil Nadu,Tamil,2020-04-20,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,2242.0
U0104,Aditya Krishnan,41.0,Female,Nizamabad,Telangana,Telugu,2020-09-24,Audiobook Subscription,2020-12-16,2021-12-16,dataset_1,2.0,2.0,295.0,2.0,2085.0
U0105,Srinivas Agarwal,35.0,Male,Davangere,Karnataka,Kannada,2023-01-25,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1232.0
U0106,Brindha Singh,59.0,Male,Vellore,Tamil Nadu,Tamil,2024-02-06,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,855.0
U0107,Sowmya Banerjee,19.0,Male,Tiruchirappalli,Tamil Nadu,English,2021-04-28,Annual Ebook,2021-05-27,2022-05-27,dataset_1,1.0,1.0,0.0,1.0,1869.0
U0108,mani murugesan,56.0,Male,Delhi,Delhi,Telugu,2021-10-23,Annual Ebook,2021-11-06,2022-11-06,dataset_1,1.0,1.0,0.0,1.0,1691.0
U0109,Surya Sharma,40.0,Female,Mysuru,Karnataka,English,2019-08-03,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,2503.0
U0110,Nirmala Tiwari,22.0,Male,Warangal,Telangana,English,2024-08-25,Annual Ebook,0,0,dataset_1,12.0,11.0,1538.0,11.7,654.0
U0111,ramesh reddy,60.0,Male,Chennai,Tamil Nadu,Tamil,2023-07-04,Quarterly Ebook,2023-07-17,2023-10-15,dataset_1,1.0,1.0,0.0,1.0,1072.0
U0112, Nithin Chakraborty ,22.0,Female,Tiruchirappalli,Tamil Nadu,English,2022-08-24,Quarterly Ebook,2022-11-08,0,dataset_1,1.0,1.0,0.0,1.0,1386.0
U0113,Chandra Raghunathan,56.0,Male,Salem,Tamil Nadu,Tamil,2021-05-30,Quarterly Ebook,2021-06-28,2021-09-26,dataset_1,12.0,12.0,1573.0,11.999999999999998,1837.0
U0114,NAVEEN Patel,43.0,Male,Belagavi,Karnataka,Kannada,2023-03-14,Audiobook Subscription,2023-06-09,2024-06-08,dataset_1,1.0,1.0,0.0,1.0,1184.0
U0115,Akash Pillai,23.0,Male,Kozhikode,Kerala,Malayalam,2019-09-03,Annual Ebook,2019-11-13,2020-11-12,dataset_1,1.0,1.0,0.0,1.0,2472.0
U0116,Vasantha Patel,44.0,Male,Thrissur,Kerala,Malayalam,2019-07-30,Audiobook Subscription,2019-10-14,2020-10-13,dataset_1,7.0,5.0,1687.0,6.3999999999999995,2507.0
U0117,Rekha Gupta,50.0,Male,Erode,Tamil Nadu,Tamil,2023-02-14,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1212.0
U0118,Hema Naidu,45.0,Female,Mumbai,Maharashtra,English,2021-12-31,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1622.0
U0119,krishna bose,39.0,Male,Tiruchirappalli,Tamil Nadu,Tamil,2019-10-13,Annual Ebook,0,0,dataset_1,2.0,2.0,298.0,2.0,2432.0
U0120,Meenakshi Sharma,51.0,Male,Mysuru,Karnataka,Kannada,2022-08-21,Annual Ebook,2022-11-01,2023-11-01,dataset_1,2.0,2.0,561.0,2.0,1389.0
U0121,GOPAL Rao,27.0,Male,Kochi,Kerala,Malayalam,2023-10-03,Quarterly Ebook,2023-11-28,2024-02-26,dataset_1,6.0,5.0,1477.0,5.699999999999999,981.0
U0122,Nirmala Srinivasan,50.0,Male,Bengaluru,Karnataka,Kannada,2024-06-16,Quarterly Ebook,2024-07-25,2024-10-23,dataset_1,2.0,2.0,890.0,2.0,724.0
U0123,Deepa Sundaram,56.0,Male,Vellore,Tamil Nadu,Tamil,2022-03-31,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1532.0
U0124,arjun agarwal,29.0,Male,Erode,Tamil Nadu,Tamil,2022-12-21,Annual Ebook,0,0,dataset_1,7.0,7.0,1602.0,7.0,1267.0
U0125,Guru Reddy,47.0,Female,Bhopal,Madhya Pradesh,English,2023-09-07,Annual Ebook,0,0,dataset_1,2.0,2.0,230.0,2.0,1007.0
U0126, Asha Sharma ,28.0,Female,Kannur,Kerala,Malayalam,2019-12-27,Quarterly Ebook,2020-01-09,2020-04-08,dataset_1,3.0,3.0,971.0,2.9999999999999996,2357.0
U0127,Padma Desai,51.0,Male,Kolkata,West Bengal,Hindi,2020-11-19,Annual Ebook,0,0,dataset_1,2.0,2.0,564.0,2.0,2029.0
U0128,Meenakshi Menon,30.0,Female,Kozhikode,Kerala,Malayalam,2021-08-25,Annual Ebook,0,0,dataset_1,11.0,9.0,1694.0,10.399999999999999,1750.0
U0129,Babu Venkatesh,41.0,Male,Tirunelveli,Tamil Nadu,Tamil,2024-01-13,Annual Ebook,2024-03-25,2025-03-25,dataset_1,8.0,8.0,1638.0,8.0,879.0
U0130, Yuvan Das ,38.0,Female,Tiruchirappalli,Tamil Nadu,English,2023-12-17,Annual Ebook,2024-01-21,2025-01-20,dataset_1,1.0,1.0,0.0,1.0,906.0
U0131,Bharati Nair,22.0,Male,Coimbatore,Tamil Nadu,Tamil,2019-11-11,Annual Ebook,2019-11-22,2020-11-21,dataset_1,1.0,1.0,0.0,1.0,2403.0
U0132,Ramesh Prasad,47.0,Female,Mumbai,Maharashtra,English,2021-02-10,Annual Ebook,0,0,dataset_1,11.0,11.0,1201.0,11.0,1946.0
U0133,Akash Mishra,21.0,Male,Kolkata,West Bengal,Telugu,2019-12-12,Quarterly Ebook,2020-01-03,0,dataset_1,3.0,3.0,439.0,2.9999999999999996,2372.0
U0134,deepa balasubramanian,46.0,Female,Hubballi,Karnataka,Kannada,2023-05-06,Quarterly Ebook,2023-06-18,2023-09-16,dataset_1,1.0,1.0,0.0,1.0,1131.0
U0135,Balaji Prasad,58.0,Female,Salem,Tamil Nadu,Tamil,2022-03-09,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,1554.0
U0136,SURYA Prasad,39.0,Male,Hubballi,Karnataka,Kannada,2023-05-25,Annual Ebook,0,0,dataset_1,2.0,2.0,910.0,2.0,1112.0
U0137,Ilaiyaraja Rao,42.0,Female,Tiruchirappalli,Tamil Nadu,Tamil,2024-11-26,Annual Ebook,0,0,dataset_1,3.0,3.0,1095.0,2.9999999999999996,561.0
U0138,Parvathi Desai,19.0,Male,Vellore,Tamil Nadu,Tamil,2024-06-14,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,726.0
U0139,Sunita Murugesan,68.0,Male,Kannur,Kerala,Malayalam,2019-06-04,Annual Ebook,2019-08-22,2020-08-21,dataset_1,2.0,2.0,1472.0,2.0,2563.0
U0140,Venkat Prasad,28.0,Male,Vijayawada,Andhra Pradesh,Telugu,2019-06-28,Quarterly Ebook,2019-09-22,2019-12-21,dataset_1,1.0,1.0,0.0,1.0,2539.0
U0141, Sathish Balasubramanian ,57.0,Male,Davangere,Karnataka,Kannada,2022-06-21,Audiobook Subscription,2022-08-20,2023-08-20,dataset_1,1.0,1.0,0.0,1.0,1450.0
U0142,Mohan Singh,54.0,Other,Bengaluru,Karnataka,Kannada,2023-09-11,Audiobook Subscription,2023-10-06,2024-10-05,dataset_1,10.0,9.0,1386.0,9.7,1003.0
U0143,AMUDHA Krishnan,21.0,Female,Pune,Maharashtra,English,2024-10-14,Audiobook Subscription,2024-11-19,2025-11-19,dataset_1,8.0,6.0,1228.0,7.3999999999999995,604.0
U0144,Karthik Subramaniam,50.0,Male,Erode,Tamil Nadu,Tamil,2019-04-20,Quarterly Ebook,2019-06-09,2019-09-07,dataset_1,2.0,2.0,652.0,2.0,2608.0
U0145,Rohan Singh,23.0,Male,Salem,Tamil Nadu,Tamil,2020-08-21,Annual Ebook,0,0,dataset_1,10.0,10.0,1764.0,10.0,2119.0
U0146,Vijay Kaur,41.0,Female,Vijayawada,Andhra Pradesh,Telugu,2019-03-19,Annual Ebook,0,0,dataset_1,2.0,2.0,162.0,2.0,2640.0
U0147, Bhavana Chaudhari ,56.0,Female,Bengaluru,Karnataka,Kannada,2019-07-15,Annual Ebook,0,0,dataset_1,3.0,3.0,282.0,2.9999999999999996,2522.0
U0148,Meenakshi Rajput,25.0,Female,Nizamabad,Telangana,Telugu,2021-09-17,Annual Ebook,2021-10-24,2022-10-24,dataset_1,1.0,1.0,0.0,1.0,1727.0
